week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,40,23,17,0,0.0,0.0,0.05,0.9,0.0,0.05
2026-W13,75,58,11394,2.3969,0.1972,0.4726,61,26,35,1,0.0,0.6065573770491803,0.08196721311475409,0.14754098360655737,0.13114754098360656,0.03278688524590164
2026-W14,131,56,8678,2.9055,0.2511,0.7296,54,24,30,0,0.018518518518518517,0.09259259259259259,0.1111111111111111,0.5555555555555556,0.18518518518518517,0.037037037037037035
2026-W15,179,48,5050,3.1451,0.3958,1.2449,60,36,24,0,0.016666666666666666,0.05,0.35,0.4666666666666667,0.08333333333333333,0.03333333333333333
2026-W16,237,58,3756,3.3285,0.4982,1.6583,44,22,22,0,0.022727272727272728,0.06818181818181818,0.45454545454545453,0.3181818181818182,0.09090909090909091,0.045454545454545456
2026-W17,278,41,2416,3.4193,0.6805,2.3268,41,22,19,0,0.0,0.04878048780487805,0.0975609756097561,0.7073170731707317,0.0975609756097561,0.04878048780487805
2026-W18,301,40,1703,3.4609,0.845,2.9246,56,38,18,0,0.0,0.03571428571428571,0.05357142857142857,0.44642857142857145,0.42857142857142855,0.03571428571428571
2026-W19,299,56,1792,3.4575,0.8203,2.8361,48,30,18,0,0.020833333333333332,0.020833333333333332,0.375,0.4791666666666667,0.0625,0.041666666666666664
2026-W20,293,50,2735,3.4471,0.626,2.1578,57,37,20,0,0.43859649122807015,0.017543859649122806,0.05263157894736842,0.42105263157894735,0.017543859649122806,0.05263157894736842
2026-W21,305,60,4252,3.4676,0.4533,1.5717,43,20,23,0,0.7441860465116279,0.046511627906976744,0.046511627906976744,0.11627906976744186,0.023255813953488372,0.023255813953488372
2026-W22,291,44,5338,3.4435,0.3785,1.3033,46,22,24,0,0.717391304347826,0.043478260869565216,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608
