week,type,n_decisions,n_speak,n_posted,mean_u,mean_threshold,mean_benefit,mean_env_gain,mean_env_multiplier
2026-W12,education,15,1,1,0.76916,0.9470133333333333,0.76916,1.0,
2026-W12,marketing,23,23,23,1.1937304347826088,0.9538391304347825,1.1937304347826088,1.0,
2026-W12,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,1.0,
2026-W12,mourning,22,0,0,0.26783636363636365,0.9641590909090909,0.26783636363636365,1.0,
2026-W12,other,21,0,0,-0.35062380952380956,0.9515476190476191,-0.35062380952380956,1.0,
2026-W13,education,15,0,0,0.53296,0.9470133333333333,0.53296,0.4751,
2026-W13,marketing,23,4,4,0.843104347826087,0.9538391304347825,0.843104347826087,0.4751,
2026-W13,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,0.4751000000000001,
2026-W13,mourning,22,22,22,1.8083,0.9641590909090909,1.8083,0.4751000000000001,
2026-W13,other,21,0,0,0.021166666666666667,0.9515476190476191,0.021166666666666667,0.4751,
2026-W14,education,15,15,15,1.41292,0.9470133333333333,1.41292,0.7312,
2026-W14,marketing,23,11,11,0.9337521739130434,0.9538391304347825,0.9337521739130434,0.7312,
2026-W14,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,0.7312,
2026-W14,mourning,22,0,0,0.47451363636363636,0.9641590909090909,0.47451363636363636,0.7311999999999999,
2026-W14,other,21,2,2,0.8372952380952382,0.9515476190476191,0.8372952380952382,0.7312,
2026-W15,education,15,15,15,1.3379866666666667,0.9470133333333333,1.3379866666666667,1.2525,
2026-W15,marketing,23,10,10,0.9274608695652174,0.9538391304347825,0.9274608695652174,1.2525,
2026-W15,meme,19,0,0,0.27479473684210526,0.9668,0.27479473684210526,1.2525,
2026-W15,mourning,22,0,0,0.20737727272727274,0.9641590909090909,0.20737727272727274,1.2525,
2026-W15,other,21,0,0,0.01788095238095238,0.9515476190476191,0.01788095238095238,1.2525,
2026-W16,education,15,0,0,0.6175733333333333,0.9470133333333333,0.6175733333333333,1.6506,
2026-W16,marketing,23,16,16,1.036417391304348,0.9538391304347825,1.036417391304348,1.6506,
2026-W16,meme,19,0,0,0.2601578947368421,0.9668,0.2601578947368421,1.6506,
2026-W16,mourning,22,0,0,0.37531818181818183,0.9641590909090909,0.37531818181818183,1.6506,
2026-W16,other,21,0,0,0.689,0.9515476190476191,0.689,1.6506000000000003,
2026-W17,education,15,7,7,0.9620733333333333,0.9470133333333333,0.9620733333333333,2.3104,
2026-W17,marketing,23,22,22,1.1207130434782608,0.9538391304347825,1.1207130434782608,2.3104,
2026-W17,meme,19,0,0,-0.0667578947368421,0.9668,-0.0667578947368421,2.3104,
2026-W17,mourning,22,0,0,0.09676818181818181,0.9641590909090909,0.09676818181818181,2.3104,
2026-W17,other,21,21,21,1.249295238095238,0.9515476190476191,1.249295238095238,2.3104,
2026-W18,education,15,12,12,1.0748533333333334,0.9470133333333333,1.0748533333333334,2.9465,
2026-W18,marketing,23,7,7,0.8966999999999999,0.9538391304347825,0.8966999999999999,2.9465,
2026-W18,meme,19,0,0,-0.0667578947368421,0.9668,-0.0667578947368421,2.9465,
2026-W18,mourning,22,0,0,0.3211272727272727,0.9641590909090909,0.3211272727272727,2.9465,
2026-W18,other,21,0,0,0.4983761904761905,0.9515476190476191,0.4983761904761905,2.9465,
2026-W19,education,15,3,3,0.83926,0.9470133333333333,0.83926,2.8304,
2026-W19,marketing,23,15,15,1.0020652173913043,0.9538391304347825,1.0020652173913043,2.8304,
2026-W19,meme,19,0,0,0.24631052631578948,0.9668,0.24631052631578948,2.8304,
2026-W19,mourning,22,0,0,0.14049545454545453,0.9641590909090909,0.14049545454545453,2.8304,
2026-W19,other,21,0,0,0.43797619047619046,0.9515476190476191,0.43797619047619046,2.8304,
2026-W20,education,15,0,0,0.35300666666666664,0.9470133333333333,0.35300666666666664,2.1391,
2026-W20,marketing,23,19,19,1.058873913043478,0.9538391304347825,1.058873913043478,2.1391,
2026-W20,meme,19,19,19,1.5553263157894737,0.9668,1.5553263157894737,2.1391,
2026-W20,mourning,22,0,0,0.07666818181818182,0.9641590909090909,0.07666818181818182,2.1391,
2026-W20,other,21,0,0,0.010090476190476191,0.9515476190476191,0.010090476190476191,2.1391,
2026-W21,education,15,2,2,0.7946866666666667,0.9470133333333333,0.7946866666666667,1.5567,
2026-W21,marketing,23,2,2,0.7827869565217391,0.9538391304347825,0.7827869565217391,1.5567,
2026-W21,meme,19,19,19,1.5753105263157896,0.9668,1.5753105263157896,1.5567,
2026-W21,mourning,22,0,0,0.13001363636363636,0.9641590909090909,0.13001363636363636,1.5567,
2026-W21,other,21,0,0,-0.14024761904761904,0.9515476190476191,-0.14024761904761904,1.5567,
2026-W22,education,15,0,0,0.33418,0.9470133333333333,0.33418,1.2999,
2026-W22,marketing,23,14,14,0.9754086956521739,0.9538391304347825,0.9754086956521739,1.2999,
2026-W22,meme,19,16,16,1.1405684210526317,0.9668,1.1405684210526317,1.2999,
2026-W22,mourning,22,0,0,0.07095454545454545,0.9641590909090909,0.07095454545454545,1.2999,
2026-W22,other,21,0,0,-0.14024761904761904,0.9515476190476191,-0.14024761904761904,1.2999,
