week,type,n_decisions,n_speak,n_posted,mean_u,mean_threshold,mean_benefit,mean_env_gain,mean_env_multiplier
2026-W12,education,15,7,7,0.96214,0.9470133333333333,0.96214,1.0,
2026-W12,marketing,23,23,23,1.1933695652173912,0.9538391304347825,1.1933695652173912,1.0,
2026-W12,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,1.0,
2026-W12,mourning,22,0,0,0.26783636363636365,0.9641590909090909,0.26783636363636365,1.0,
2026-W12,other,21,0,0,-0.35062380952380956,0.9515476190476191,-0.35062380952380956,1.0,
2026-W13,education,15,3,3,0.73268,0.9470133333333333,0.73268,0.4897,
2026-W13,marketing,23,10,10,0.9777521739130435,0.9538391304347825,0.9777521739130435,0.4897000000000001,
2026-W13,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,0.4897000000000001,
2026-W13,mourning,22,22,22,1.7810500000000002,0.9641590909090909,1.7810500000000002,0.4897,
2026-W13,other,21,5,5,0.36282380952380955,0.9515476190476191,0.36282380952380955,0.48969999999999997,
2026-W14,education,15,5,5,0.89358,0.9470133333333333,0.89358,0.7594,
2026-W14,marketing,23,19,19,1.072995652173913,0.9538391304347825,1.072995652173913,0.7594000000000001,
2026-W14,meme,19,0,0,-0.05907368421052632,0.9668,-0.05907368421052632,0.7594,
2026-W14,mourning,22,10,10,0.8519136363636364,0.9641590909090909,0.8519136363636364,0.7593999999999999,
2026-W14,other,21,4,4,0.38765714285714287,0.9515476190476191,0.38765714285714287,0.7594,
2026-W15,education,15,9,9,0.9576066666666667,0.9470133333333333,0.9576066666666667,1.2925,
2026-W15,marketing,23,16,16,1.0136173913043478,0.9538391304347825,1.0136173913043478,1.2925,
2026-W15,meme,19,0,0,-0.03601052631578947,0.9668,-0.03601052631578947,1.2925,
2026-W15,mourning,22,5,5,0.7373954545454545,0.9641590909090909,0.7373954545454545,1.2925,
2026-W15,other,21,7,7,0.6145047619047619,0.9515476190476191,0.6145047619047619,1.2925,
2026-W16,education,15,10,10,1.0088,0.9470133333333333,1.0088,1.6986,
2026-W16,marketing,23,13,13,0.999604347826087,0.9538391304347825,0.999604347826087,1.6986000000000003,
2026-W16,meme,19,0,0,0.011989473684210526,0.9668,0.011989473684210526,1.6986,
2026-W16,mourning,22,0,0,0.31539545454545453,0.9641590909090909,0.31539545454545453,1.6985999999999999,
2026-W16,other,21,2,2,0.3128952380952381,0.9515476190476191,0.3128952380952381,1.6986,
2026-W17,education,15,12,12,1.06502,0.9470133333333333,1.06502,2.3728,
2026-W17,marketing,23,17,17,1.0594478260869564,0.9538391304347825,1.0594478260869564,2.3728,
2026-W17,meme,19,0,0,-0.07327894736842105,0.9668,-0.07327894736842105,2.3728,
2026-W17,mourning,22,0,0,0.16209545454545454,0.9641590909090909,0.16209545454545454,2.3728,
2026-W17,other,21,4,4,0.5736142857142857,0.9515476190476191,0.5736142857142857,2.3728,
2026-W18,education,15,9,9,0.99198,0.9470133333333333,0.99198,2.9873,
2026-W18,marketing,23,21,21,1.027904347826087,0.9538391304347825,1.027904347826087,2.9873,
2026-W18,meme,19,0,0,-0.04468421052631579,0.9668,-0.04468421052631579,2.9873,
2026-W18,mourning,22,0,0,0.14404545454545456,0.9641590909090909,0.14404545454545456,2.9872999999999994,
2026-W18,other,21,1,1,0.3742095238095238,0.9515476190476191,0.3742095238095238,2.9873,
2026-W19,education,15,8,8,0.9031333333333333,0.9470133333333333,0.9031333333333333,2.882,
2026-W19,marketing,23,19,19,1.0580521739130435,0.9538391304347825,1.0580521739130435,2.882,
2026-W19,meme,19,0,0,-0.07388947368421052,0.9668,-0.07388947368421052,2.882,
2026-W19,mourning,22,0,0,0.09356363636363635,0.9641590909090909,0.09356363636363635,2.882,
2026-W19,other,21,2,2,0.2207047619047619,0.9515476190476191,0.2207047619047619,2.882,
2026-W20,education,15,7,7,0.7846733333333333,0.9470133333333333,0.7846733333333333,2.1797,
2026-W20,marketing,23,15,15,1.0349608695652173,0.9538391304347825,1.0349608695652173,2.1797,
2026-W20,meme,19,2,2,0.27540526315789476,0.9668,0.27540526315789476,2.1797,
2026-W20,mourning,22,0,0,0.13402272727272727,0.9641590909090909,0.13402272727272727,2.1797,
2026-W20,other,21,0,0,0.14972380952380954,0.9515476190476191,0.14972380952380954,2.1797,
2026-W21,education,15,1,1,0.6752533333333334,0.9470133333333333,0.6752533333333334,1.5671,
2026-W21,marketing,23,11,11,0.9997173913043479,0.9538391304347825,0.9997173913043479,1.5671000000000002,
2026-W21,meme,19,11,11,1.1333631578947367,0.9668,1.1333631578947367,1.5671,
2026-W21,mourning,22,0,0,0.10787727272727272,0.9641590909090909,0.10787727272727272,1.5671,
2026-W21,other,21,0,0,-0.08702380952380952,0.9515476190476191,-0.08702380952380952,1.5670999999999997,
2026-W22,education,15,0,0,0.46166,0.9470133333333333,0.46166,1.3006,
2026-W22,marketing,23,8,8,0.9337869565217392,0.9538391304347825,0.9337869565217392,1.3006,
2026-W22,meme,19,17,17,1.5158473684210527,0.9668,1.5158473684210527,1.3006,
2026-W22,mourning,22,0,0,0.09542272727272727,0.9641590909090909,0.09542272727272727,1.3006,
2026-W22,other,21,0,0,-0.07955238095238096,0.9515476190476191,-0.07955238095238096,1.3006,
