week,bias_meme,bias_mourning,bias_education,bias_marketing,bias_other,bias_noise
2026-W12,0.0,0.0,-0.07348936170212766,0.005042553191489385,0.0,0.06844680851063831
2026-W13,0.0,0.0576666666666667,-0.037333333333333336,0.018666666666666665,-0.03633333333333333,-0.002666666666666668
2026-W14,-0.006705882352941176,0.07841176470588235,-0.02576470588235294,-0.013058823529411734,-0.04147058823529412,0.008588235294117647
2026-W15,-0.001393442622950821,0.19485245901639345,-0.08990163934426229,-0.08204918032786884,-0.019721311475409842,-0.0017868852459016413
2026-W16,-0.002276595744680851,0.10917021276595744,-0.12414893617021278,-0.04653191489361702,0.0573404255319149,0.006446808510638301
2026-W17,0.02,0.05653846153846154,-0.01869230769230773,-0.07353846153846155,0.00815384615384615,0.0075384615384615355
2026-W18,0.011,0.02218367346938776,0.042102040816326514,-0.1434285714285714,0.0669591836734694,0.001183673469387761
2026-W19,-0.014276595744680851,0.021723404255319146,-0.012319148936170199,-0.038191489361702136,0.028617021276595753,0.014446808510638301
2026-W20,-0.11381818181818182,0.018272727272727274,0.0007272727272727431,0.04472727272727273,0.06827272727272726,-0.018181818181818174
2026-W21,-0.3327391304347826,-0.005478260869565217,0.13978260869565218,0.13091304347826088,0.03026086956521739,0.03726086956521739
2026-W22,-0.19965306122448984,-0.00781632653061224,0.07518367346938776,0.09810204081632656,0.00859183673469388,0.02559183673469388
