week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,123,770,0,107,0.0,0.0,0.123,0.77,0.0,0.107
2026-W13,1000,0,569,52,222,129,28,0.0,0.569,0.052,0.222,0.129,0.028
2026-W14,1000,5,280,129,414,128,44,0.005,0.28,0.129,0.414,0.128,0.044
2026-W15,1000,11,316,158,314,167,34,0.011,0.316,0.158,0.314,0.167,0.034
2026-W16,1000,22,185,190,420,140,43,0.022,0.185,0.19,0.42,0.14,0.043
2026-W17,1000,19,89,243,465,147,37,0.019,0.089,0.243,0.465,0.147,0.037
2026-W18,1000,8,57,232,522,130,51,0.008,0.057,0.232,0.522,0.13,0.051
2026-W19,1000,12,38,214,529,154,53,0.012,0.038,0.214,0.529,0.154,0.053
2026-W20,1000,84,31,214,477,122,72,0.084,0.031,0.214,0.477,0.122,0.072
2026-W21,1000,245,31,162,444,77,41,0.245,0.031,0.162,0.444,0.077,0.041
2026-W22,1000,431,36,100,346,58,29,0.431,0.036,0.1,0.346,0.058,0.029
