week,type,n_decisions,n_speak,n_posted,mean_u,mean_threshold,mean_baseline,mean_spiral,mean_fatigue,mean_env_gain
2026-W12,education,15,8,8,0.9837333333333333,0.9470133333333333,0.7412,0.9837333333333333,1.0,1.0
2026-W12,marketing,23,19,19,1.083095652173913,0.9538391304347825,0.8252,1.083095652173913,1.0,1.0
2026-W12,meme,19,0,0,0.5383789473684211,0.9668,0.7755,0.5383789473684211,1.0,1.0
2026-W12,mourning,22,0,0,0.6854,0.9641590909090909,0.7678,0.6854,1.0,1.0
2026-W12,other,21,0,0,0.41964761904761905,0.9515476190476191,0.7686,0.41964761904761905,1.0,1.0
2026-W13,education,15,11,11,0.98822,0.9470133333333333,0.7412,1.0515733333333332,0.8050666666666667,0.4826
2026-W13,marketing,23,14,14,0.9688565217391304,0.9538391304347825,0.8252,1.0667739130434784,0.5957086956521739,0.48260000000000003
2026-W13,meme,19,0,0,0.5383789473684211,0.9668,0.7755,0.5383789473684211,1.0,0.4826
2026-W13,mourning,22,12,12,0.9752500000000001,0.9641590909090909,0.7678,0.9752500000000001,1.0,0.4825999999999999
2026-W13,other,21,4,4,0.6203142857142857,0.9515476190476191,0.7686,0.6203142857142857,1.0,0.4826
2026-W14,education,15,6,6,0.9183933333333333,0.9470133333333333,0.7412,1.0290866666666667,0.5902333333333334,0.7568
2026-W14,marketing,23,9,9,0.9167347826086957,0.9538391304347825,0.8252,1.0359217391304347,0.4310913043478261,0.7568
2026-W14,meme,19,0,0,0.5467,0.9668,0.7755,0.5467,1.0,0.7568
2026-W14,mourning,22,9,9,0.9569954545454545,0.9641590909090909,0.7678,1.0163636363636364,0.7481000000000001,0.7568
2026-W14,other,21,2,2,0.6501095238095238,0.9515476190476191,0.7686,0.6304095238095238,0.8109761904761905,0.7568
2026-W15,education,15,5,5,0.89796,0.9470133333333333,0.7412,1.1004533333333333,0.4322933333333333,1.275
2026-W15,marketing,23,8,8,0.8992695652173913,0.9538391304347825,0.8252,1.0398739130434784,0.3442434782608696,1.275
2026-W15,meme,19,0,0,0.5461947368421052,0.9668,0.7755,0.5449315789473684,0.9951842105263158,1.275
2026-W15,mourning,22,7,7,0.8741500000000001,0.9641590909090909,0.7678,0.9805727272727274,0.5342636363636364,1.275
2026-W15,other,21,7,7,0.7868476190476191,0.9515476190476191,0.7686,0.8306666666666667,0.6402571428571429,1.275
2026-W16,education,15,4,4,0.8027266666666667,0.9470133333333333,0.7412,0.9734933333333333,0.29144666666666663,1.6728
2026-W16,marketing,23,5,5,0.8826,0.9538391304347825,0.8252,1.0346,0.27433478260869565,1.6728
2026-W16,meme,19,0,0,0.5695894736842105,0.9668,0.7755,0.5681631578947368,0.9903842105263158,1.6728
2026-W16,mourning,22,2,2,0.8451363636363637,0.9641590909090909,0.7678,0.9897318181818182,0.39794999999999997,1.6728
2026-W16,other,21,6,6,0.8193285714285714,0.9515476190476191,0.7686,0.9137095238095237,0.45092380952380956,1.6727999999999998
2026-W17,education,15,4,4,0.8062466666666667,0.9470133333333333,0.7412,1.0187533333333334,0.24328666666666665,2.3358
2026-W17,marketing,23,5,5,0.8730347826086956,0.9538391304347825,0.8252,1.040417391304348,0.2210695652173913,2.3358
2026-W17,meme,19,0,0,0.5518684210526316,0.9668,0.7755,0.5464842105263158,0.9746473684210526,2.3358
2026-W17,mourning,22,4,4,0.8343318181818181,0.9641590909090909,0.7678,0.9559272727272727,0.30060454545454546,2.3358
2026-W17,other,21,4,4,0.784147619047619,0.9515476190476191,0.7686,0.8907190476190477,0.2900619047619048,2.3358
2026-W18,education,15,2,2,0.7843933333333334,0.9470133333333333,0.7412,0.9620333333333334,0.18631333333333336,2.9274
2026-W18,marketing,23,4,4,0.8648521739130435,0.9538391304347825,0.8252,1.0470913043478263,0.1756391304347826,2.9274
2026-W18,meme,19,0,0,0.5701105263157895,0.9668,0.7755,0.5643842105263158,0.9702052631578948,2.9274
2026-W18,mourning,22,1,1,0.8053272727272727,0.9641590909090909,0.7678,0.9495772727272727,0.21632272727272728,2.9274
2026-W18,other,21,2,2,0.8252714285714285,0.9515476190476191,0.7686,0.9425095238095238,0.19669523809523812,2.9274
2026-W19,education,15,1,1,0.78492,0.9470133333333333,0.7412,1.0440466666666668,0.15052000000000001,2.7883
2026-W19,marketing,23,4,4,0.8549608695652174,0.9538391304347825,0.8252,1.0443565217391304,0.1354,2.7883
2026-W19,meme,19,0,0,0.5746157894736842,0.9668,0.7755,0.565321052631579,0.9574736842105264,2.7883
2026-W19,mourning,22,1,1,0.7950499999999999,0.9641590909090909,0.7678,0.9266363636363636,0.16546818181818182,2.7883
2026-W19,other,21,3,3,0.7731333333333333,0.9515476190476191,0.7686,0.8528285714285715,0.10605714285714285,2.7883
2026-W20,education,15,2,2,0.7821533333333334,0.9470133333333333,0.7412,1.1049066666666667,0.11599333333333334,2.0655
2026-W20,marketing,23,3,3,0.8464217391304348,0.9538391304347825,0.8252,1.0306652173913045,0.1050695652173913,2.0655
2026-W20,meme,19,0,0,0.587957894736842,0.9668,0.7755,0.5773736842105264,0.945021052631579,2.0655
2026-W20,mourning,22,1,1,0.7849090909090909,0.9641590909090909,0.7678,0.9429545454545455,0.12619545454545456,2.0655
2026-W20,other,21,1,1,0.7868761904761905,0.9515476190476191,0.7686,1.019552380952381,0.0700952380952381,2.0655
2026-W21,education,15,0,0,0.7650066666666666,0.9470133333333333,0.7412,1.04756,0.08328666666666668,1.4689
2026-W21,marketing,23,3,3,0.8417217391304348,0.9538391304347825,0.8252,1.0246391304347826,0.0849,1.4689
2026-W21,meme,19,4,4,0.7000526315789474,0.9668,0.7755,0.6917,0.9258052631578947,1.4689
2026-W21,mourning,22,1,1,0.7789227272727272,0.9641590909090909,0.7678,0.8750045454545454,0.09968636363636363,1.4689
2026-W21,other,21,0,0,0.7687809523809525,0.9515476190476191,0.7686,0.8983238095238095,0.040633333333333334,1.4689
2026-W22,education,15,0,0,0.7620066666666666,0.9470133333333333,0.7412,1.08578,0.06432,1.2048
2026-W22,marketing,23,3,3,0.8407869565217392,0.9538391304347825,0.8252,1.0505,0.06990434782608695,1.2048
2026-W22,meme,19,2,2,0.7204157894736842,0.9668,0.7755,0.7152157894736842,0.8766789473684211,1.2048
2026-W22,mourning,22,0,0,0.7844318181818182,0.9641590909090909,0.7678,0.9190545454545455,0.08070454545454546,1.2048
2026-W22,other,21,0,0,0.7697142857142858,0.9515476190476191,0.7686,0.830947619047619,0.028157142857142853,1.2048
