week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,44,27,17,0,0.0,0.0,0.22727272727272727,0.7272727272727273,0.0,0.045454545454545456
2026-W13,79,62,11394,2.4477,0.1972,0.4826,76,41,35,0,0.0,0.35526315789473684,0.19736842105263158,0.2631578947368421,0.15789473684210525,0.02631578947368421
2026-W14,150,71,8678,3.014,0.2511,0.7568,56,26,30,0,0.017857142857142856,0.25,0.21428571428571427,0.30357142857142855,0.17857142857142858,0.03571428571428571
2026-W15,200,50,5050,3.2213,0.3958,1.275,51,27,24,0,0.0196078431372549,0.19607843137254902,0.21568627450980393,0.29411764705882354,0.23529411764705882,0.0392156862745098
2026-W16,249,49,3756,3.3576,0.4982,1.6728,39,17,22,0,0.02564102564102564,0.1282051282051282,0.23076923076923078,0.3076923076923077,0.2564102564102564,0.05128205128205128
2026-W17,285,36,2416,3.4325,0.6805,2.3358,36,17,19,0,0.0,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.05555555555555555
2026-W18,303,35,1703,3.4643,0.845,2.9274,27,9,18,0,0.0,0.1111111111111111,0.18518518518518517,0.4074074074074074,0.2222222222222222,0.07407407407407407
2026-W19,268,27,1792,3.3993,0.8203,2.7883,27,9,18,0,0.037037037037037035,0.07407407407407407,0.18518518518518517,0.4074074074074074,0.2222222222222222,0.07407407407407407
2026-W20,226,29,2735,3.2996,0.626,2.0655,27,7,20,0,0.2222222222222222,0.07407407407407407,0.18518518518518517,0.3333333333333333,0.07407407407407407,0.1111111111111111
2026-W21,206,30,4252,3.2408,0.4533,1.4689,31,8,23,0,0.5483870967741935,0.0967741935483871,0.06451612903225806,0.22580645161290322,0.03225806451612903,0.03225806451612903
2026-W22,189,32,5338,3.1831,0.3785,1.2048,29,5,24,0,0.5517241379310345,0.06896551724137931,0.06896551724137931,0.2413793103448276,0.034482758620689655,0.034482758620689655
