week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,118,771,0,111,0.0,0.0,0.118,0.771,0.0,0.111
2026-W13,1000,0,551,56,232,137,24,0.0,0.551,0.056,0.232,0.137,0.024
2026-W14,1000,8,299,136,384,135,38,0.008,0.299,0.136,0.384,0.135,0.038
2026-W15,1000,15,326,156,295,177,31,0.015,0.326,0.156,0.295,0.177,0.031
2026-W16,1000,19,173,195,379,185,49,0.019,0.173,0.195,0.379,0.185,0.049
2026-W17,1000,20,95,289,388,162,46,0.02,0.095,0.289,0.388,0.162,0.046
2026-W18,1000,11,63,287,428,169,42,0.011,0.063,0.287,0.428,0.169,0.042
2026-W19,1000,7,43,243,515,135,57,0.007,0.043,0.243,0.515,0.135,0.057
2026-W20,1000,68,41,228,522,91,50,0.068,0.041,0.228,0.522,0.091,0.05
2026-W21,1000,189,38,205,457,52,59,0.189,0.038,0.205,0.457,0.052,0.059
2026-W22,1000,433,33,116,343,29,46,0.433,0.033,0.116,0.343,0.029,0.046
