arm,week,type,mean_agent_supply,mean_bias
random,2026-W12,meme,0.0,0.0
random,2026-W12,mourning,0.0,0.0
random,2026-W12,education,5.666666666666667,-0.0488668242710796
random,2026-W12,marketing,23.0,-0.029652482269503566
random,2026-W12,other,0.0,0.0
random,2026-W12,noise,0.0,0.07851930654058313
random,2026-W13,meme,0.0,0.0
random,2026-W13,mourning,22.0,0.08052525252525256
random,2026-W13,education,1.6666666666666667,-0.009799422799422799
random,2026-W13,marketing,13.333333333333334,-0.0013881673881673735
random,2026-W13,other,2.0,-0.06293362193362194
random,2026-W13,noise,0.0,-0.006404040404040404
random,2026-W14,meme,0.0,-0.009081854964207905
random,2026-W14,mourning,6.333333333333333,0.1029626517273576
random,2026-W14,education,5.0,-0.05137130407718643
random,2026-W14,marketing,19.0,-0.004543417366946763
random,2026-W14,other,3.3333333333333335,-0.05180236539060068
random,2026-W14,noise,0.0,0.013836290071584191
random,2026-W15,meme,0.3333333333333333,-0.008630962149808227
random,2026-W15,mourning,5.0,0.18137128685789308
random,2026-W15,education,7.666666666666667,-0.08564722794604814
random,2026-W15,marketing,17.0,-0.05865191439182579
random,2026-W15,other,6.333333333333333,-0.030931946242637537
random,2026-W15,noise,0.0,0.002490763872426557
random,2026-W16,meme,0.6666666666666666,-0.008708017790599832
random,2026-W16,mourning,0.0,0.10044091837961293
random,2026-W16,education,9.0,-0.07514569058781105
random,2026-W16,marketing,15.333333333333334,-0.030420242817646343
random,2026-W16,other,5.0,0.0089835316744801
random,2026-W16,noise,0.0,0.00484950114196418
random,2026-W17,meme,0.0,0.02266666666666667
random,2026-W17,mourning,0.0,0.053781971651536864
random,2026-W17,education,10.333333333333334,-0.031433667781493875
random,2026-W17,marketing,16.333333333333332,-0.049162924032489265
random,2026-W17,other,5.666666666666667,0.002699315177576045
random,2026-W17,noise,0.0,0.001448638318203535
random,2026-W18,meme,0.3333333333333333,0.007256410256410256
random,2026-W18,mourning,0.0,0.016301936159079017
random,2026-W18,education,8.333333333333334,0.03235792778649921
random,2026-W18,marketing,18.666666666666668,-0.07566457352171636
random,2026-W18,other,4.666666666666667,0.010446363160648878
random,2026-W18,noise,0.0,0.009301936159079018
random,2026-W19,meme,0.0,-0.010128841607565012
random,2026-W19,mourning,0.0,0.01753782505910165
random,2026-W19,education,8.666666666666666,-0.025916075650118203
random,2026-W19,marketing,17.0,-0.032239952718676114
random,2026-W19,other,3.6666666666666665,0.039338061465721046
random,2026-W19,noise,0.0,0.011408983451536646
random,2026-W20,meme,1.6666666666666667,-0.11061664261664261
random,2026-W20,mourning,0.0,0.016746993746993746
random,2026-W20,education,5.333333333333333,0.0320942760942761
random,2026-W20,marketing,15.333333333333334,0.004141895141895151
random,2026-W20,other,1.3333333333333333,0.07472582972582971
random,2026-W20,noise,0.0,-0.017092352092352086
random,2026-W21,meme,7.666666666666667,-0.25368115942028985
random,2026-W21,mourning,0.0,-0.006985507246376811
random,2026-W21,education,2.6666666666666665,0.09902898550724638
random,2026-W21,marketing,12.666666666666666,0.08369565217391305
random,2026-W21,other,1.3333333333333333,0.041768115942028984
random,2026-W21,noise,0.0,0.03617391304347826
random,2026-W22,meme,16.666666666666668,-0.22709070294784583
random,2026-W22,mourning,0.0,0.0022675736961451274
random,2026-W22,education,1.6666666666666667,0.057513605442176874
random,2026-W22,marketing,8.666666666666666,0.11037528344671203
random,2026-W22,other,0.0,0.03330045351473923
random,2026-W22,noise,0.0,0.023633786848072564
chronological,2026-W12,meme,0.0,0.0
chronological,2026-W12,mourning,0.0,0.0
chronological,2026-W12,education,0.6666666666666666,0.0012195121951219569
chronological,2026-W12,marketing,23.0,-0.05203252032520326
chronological,2026-W12,other,0.0,0.0
chronological,2026-W12,noise,0.0,0.05081300813008131
chronological,2026-W13,meme,0.0,0.0
chronological,2026-W13,mourning,22.0,0.11546968514181628
chronological,2026-W13,education,5.333333333333333,-0.02457715326567785
chronological,2026-W13,marketing,6.333333333333333,-0.041920374707259934
chronological,2026-W13,other,0.0,-0.05251105906843612
chronological,2026-W13,noise,0.0,0.0035389018995576386
chronological,2026-W14,meme,0.0,0.016285162262173757
chronological,2026-W14,mourning,0.0,0.11475914464420212
chronological,2026-W14,education,10.0,-0.09875233323509186
chronological,2026-W14,marketing,14.666666666666666,-0.0918164849199332
chronological,2026-W14,other,4.333333333333333,-0.006379146609031661
chronological,2026-W14,noise,0.0,0.06590365785768086
chronological,2026-W15,meme,0.0,0.047062013211081534
chronological,2026-W15,mourning,0.0,0.07451937296657794
chronological,2026-W15,education,14.0,-0.05662525879917182
chronological,2026-W15,marketing,13.666666666666666,-0.1277235531893917
chronological,2026-W15,other,0.0,0.03531006605540768
chronological,2026-W15,noise,0.0,0.027457359755496406
chronological,2026-W16,meme,0.0,0.04587453482190324
chronological,2026-W16,mourning,0.0,0.10429027113237642
chronological,2026-W16,education,8.333333333333334,-0.062041467304625196
chronological,2026-W16,marketing,15.0,-0.13670388091440722
chronological,2026-W16,other,7.0,-0.009835194045720355
chronological,2026-W16,noise,0.0,0.05841573631047315
chronological,2026-W17,meme,0.0,0.0
chronological,2026-W17,mourning,0.0,0.026251914693059975
chronological,2026-W17,education,4.666666666666667,0.0012960999175209247
chronological,2026-W17,marketing,21.333333333333332,-0.10485448332744196
chronological,2026-W17,other,7.0,0.05105455402380111
chronological,2026-W17,noise,0.0,0.026251914693059975
chronological,2026-W18,meme,0.0,0.0
chronological,2026-W18,mourning,0.0,0.12225113312069835
chronological,2026-W18,education,6.0,-0.018209669296625826
chronological,2026-W18,marketing,10.666666666666666,-0.10971825863130212
chronological,2026-W18,other,11.666666666666666,-0.04990767164680208
chronological,2026-W18,noise,0.0,0.05558446645403168
chronological,2026-W19,meme,0.0,0.040659041394335516
chronological,2026-W19,mourning,0.0,0.007325708061002182
chronological,2026-W19,education,8.666666666666666,-0.05059912854030501
chronological,2026-W19,marketing,12.666666666666666,-0.20068082788671027
chronological,2026-W19,other,0.0,0.12197712418300655
chronological,2026-W19,noise,0.0,0.08131808278867103
chronological,2026-W20,meme,19.0,-0.10805880951071511
chronological,2026-W20,mourning,0.0,0.015677647619571397
chronological,2026-W20,education,0.6666666666666666,0.001578397404168733
chronological,2026-W20,marketing,17.0,-0.005241159324643881
chronological,2026-W20,other,0.0,0.015677647619571394
chronological,2026-W20,noise,0.0,0.08036627619204753
chronological,2026-W21,meme,18.666666666666668,-0.134491528020345
chronological,2026-W21,mourning,0.0,0.024548824953273898
chronological,2026-W21,education,0.6666666666666666,0.07672273799675217
chronological,2026-W21,marketing,5.666666666666667,-0.02466219321628826
chronological,2026-W21,other,0.0,0.012274412476636945
chronological,2026-W21,noise,0.0,0.04560774580997028
chronological,2026-W22,meme,17.666666666666668,-0.02286634460547506
chronological,2026-W22,mourning,0.0,-0.007997852925389154
chronological,2026-W22,education,0.0,0.025335480407944182
chronological,2026-W22,marketing,7.0,0.013526570048309186
chronological,2026-W22,other,0.0,-0.020665593129361243
chronological,2026-W22,noise,0.0,0.012667740203972091
interest,2026-W12,meme,0.0,0.0
interest,2026-W12,mourning,0.0,0.0
interest,2026-W12,education,5.333333333333333,-0.038101249802246474
interest,2026-W12,marketing,22.666666666666668,-0.030952222749564957
interest,2026-W12,other,0.0,0.0
interest,2026-W12,noise,0.0,0.06905347255181142
interest,2026-W13,meme,0.0,0.0
interest,2026-W13,mourning,22.0,0.10309315787093566
interest,2026-W13,education,3.3333333333333335,-0.028661285216840773
interest,2026-W13,marketing,15.0,-0.017438339438339417
interest,2026-W13,other,1.0,-0.052692262470040246
interest,2026-W13,noise,0.0,-0.0043012707457151895
interest,2026-W14,meme,0.0,-0.007299088704371961
interest,2026-W14,mourning,8.333333333333334,0.0866190971127383
interest,2026-W14,education,8.0,-0.057905487626855386
interest,2026-W14,marketing,20.666666666666668,0.012017677033092367
interest,2026-W14,other,3.0,-0.05083402040585938
interest,2026-W14,noise,0.0,0.01740182259125608
interest,2026-W15,meme,0.0,-0.007453645573265858
interest,2026-W15,mourning,2.6666666666666665,0.21617994939379148
interest,2026-W15,education,7.333333333333333,-0.08179022922405683
interest,2026-W15,marketing,18.333333333333332,-0.10708107092162768
interest,2026-W15,other,4.0,-0.019947712528309357
interest,2026-W15,noise,0.0,9.2708853468286e-05
interest,2026-W16,meme,0.0,0.0017012987012987024
interest,2026-W16,mourning,0.0,0.09443722943722943
interest,2026-W16,education,11.0,-0.07611255411255409
interest,2026-W16,marketing,19.333333333333332,-0.04205194805194806
interest,2026-W16,other,3.3333333333333335,0.019623376623376636
interest,2026-W16,noise,0.0,0.002402597402597404
interest,2026-W17,meme,0.0,0.012666666666666666
interest,2026-W17,mourning,0.0,0.0361832884097035
interest,2026-W17,education,9.0,-0.0014312668463611806
interest,2026-W17,marketing,19.666666666666668,-0.04056963162623541
interest,2026-W17,other,5.333333333333333,-0.013365678346810425
interest,2026-W17,noise,0.0,0.006516621743036836
interest,2026-W18,meme,0.0,0.009
interest,2026-W18,mourning,0.0,0.012685156113727544
interest,2026-W18,education,8.333333333333334,0.01911808826094542
interest,2026-W18,marketing,19.333333333333332,-0.049370748299319735
interest,2026-W18,other,4.0,-0.00011765218908076543
interest,2026-W18,noise,0.0,0.008685156113727542
interest,2026-W19,meme,0.0,-0.013355112587670727
interest,2026-W19,mourning,0.0,0.017311554078995938
interest,2026-W19,education,5.666666666666667,0.0022860834256183036
interest,2026-W19,marketing,16.333333333333332,-0.05454448135843485
interest,2026-W19,other,1.6666666666666667,0.043678848283499445
interest,2026-W19,noise,0.0,0.00462310815799188
interest,2026-W20,meme,6.666666666666667,-0.17678190696568483
interest,2026-W20,mourning,0.0,0.011748287720885459
interest,2026-W20,education,3.3333333333333335,0.0767307676693866
interest,2026-W20,marketing,16.0,0.039751900760304125
interest,2026-W20,other,2.6666666666666665,0.049306087652452285
interest,2026-W20,noise,0.0,-0.0007551368373436354
interest,2026-W21,meme,16.333333333333332,-0.2741299545159194
interest,2026-W21,mourning,0.0,-0.0017205977907732279
interest,2026-W21,education,1.6666666666666667,0.08706497725795971
interest,2026-W21,marketing,13.666666666666666,0.11468745938921378
interest,2026-W21,other,0.3333333333333333,0.04762508122157245
interest,2026-W21,noise,0.0,0.026473034437946723
interest,2026-W22,meme,18.333333333333332,-0.1591823899371069
interest,2026-W22,mourning,0.0,0.0050548885077186965
interest,2026-W22,education,0.0,0.0510548885077187
interest,2026-W22,marketing,11.333333333333334,0.06501772441395083
interest,2026-W22,other,0.0,0.027027444253859348
interest,2026-W22,noise,0.0,0.01102744425385935
