week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,43,26,17,0,0.0,0.0,0.13953488372093023,0.813953488372093,0.0,0.046511627906976744
2026-W13,78,61,11394,2.4353,0.1972,0.4801,78,43,35,1,0.0,0.47435897435897434,0.10256410256410256,0.2564102564102564,0.14102564102564102,0.02564102564102564
2026-W14,151,73,8678,3.0191,0.2511,0.7581,73,43,30,0,0.0136986301369863,0.2054794520547945,0.1780821917808219,0.410958904109589,0.1643835616438356,0.0273972602739726
2026-W15,218,67,5050,3.2771,0.3958,1.2971,59,35,24,0,0.01694915254237288,0.13559322033898305,0.2542372881355932,0.423728813559322,0.13559322033898305,0.03389830508474576
2026-W16,275,57,3756,3.4134,0.4982,1.7006,56,34,22,0,0.017857142857142856,0.05357142857142857,0.2857142857142857,0.48214285714285715,0.125,0.03571428571428571
2026-W17,328,53,2416,3.5034,0.6805,2.3841,50,31,19,0,0.0,0.04,0.24,0.54,0.14,0.04
2026-W18,360,49,1703,3.5465,0.845,2.9969,49,31,18,0,0.0,0.04081632653061224,0.20408163265306123,0.5306122448979592,0.1836734693877551,0.04081632653061224
2026-W19,348,49,1792,3.5312,0.8203,2.8965,42,24,18,0,0.023809523809523808,0.023809523809523808,0.23809523809523808,0.5952380952380952,0.07142857142857142,0.047619047619047616
2026-W20,319,44,2735,3.4899,0.626,2.1846,49,29,20,0,0.22448979591836735,0.02040816326530612,0.14285714285714285,0.4489795918367347,0.10204081632653061,0.061224489795918366
2026-W21,304,52,4252,3.466,0.4533,1.571,57,34,23,0,0.5263157894736842,0.03508771929824561,0.07017543859649122,0.3157894736842105,0.03508771929824561,0.017543859649122806
2026-W22,305,58,5338,3.4676,0.3785,1.3125,53,29,24,0,0.6037735849056604,0.03773584905660377,0.03773584905660377,0.2830188679245283,0.018867924528301886,0.018867924528301886
