week,bias_meme,bias_mourning,bias_education,bias_marketing,bias_other,bias_noise
2026-W12,0.0,0.0,-0.016534883720930232,-0.04395348837209301,0.0,0.060488372093023254
2026-W13,0.0,0.09464102564102561,-0.05056410256410256,-0.034410256410256385,-0.01202564102564102,0.0023589743589743604
2026-W14,-0.0086986301369863,0.07452054794520552,-0.049082191780821904,0.003041095890410961,-0.036383561643835605,0.016602739726027396
2026-W15,-0.005949152542372882,0.18040677966101695,-0.09623728813559321,-0.10972881355932201,0.03140677966101696,0.00010169491525423985
2026-W16,0.004142857142857143,0.13142857142857142,-0.0957142857142857,-0.062142857142857166,0.015000000000000013,0.007285714285714284
2026-W17,0.019,0.048999999999999995,0.0030000000000000027,-0.07500000000000001,0.0069999999999999785,-0.0030000000000000027
2026-W18,0.008,0.01618367346938776,0.027918367346938783,-0.008612244897959198,-0.05367346938775511,0.010183673469387755
2026-W19,-0.011809523809523808,0.01419047619047619,-0.024095238095238086,-0.06623809523809521,0.08257142857142857,0.005380952380952382
2026-W20,-0.14048979591836736,0.010591836734693879,0.07114285714285715,0.028020408163265287,0.019959183673469383,0.010775510204081629
2026-W21,-0.2813157894736842,-0.004087719298245612,0.09182456140350878,0.1282105263157895,0.04191228070175439,0.023456140350877196
2026-W22,-0.17277358490566036,-0.0017358490566037749,0.06226415094339623,0.06298113207547168,0.03913207547169811,0.010132075471698115
