week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,45,28,17,0,0.0,0.0,0.15555555555555556,0.8,0.0,0.044444444444444446
2026-W13,80,63,11394,2.4599,0.1972,0.485,77,42,35,1,0.0,0.4805194805194805,0.07792207792207792,0.3116883116883117,0.1038961038961039,0.025974025974025976
2026-W14,152,72,8678,3.0242,0.2511,0.7594,63,33,30,0,0.015873015873015872,0.14285714285714285,0.20634920634920634,0.42857142857142855,0.1746031746031746,0.031746031746031744
2026-W15,209,57,5050,3.2502,0.3958,1.2864,62,38,24,0,0.03225806451612903,0.16129032258064516,0.1774193548387097,0.41935483870967744,0.1774193548387097,0.03225806451612903
2026-W16,269,60,3756,3.4013,0.4982,1.6945,59,37,22,0,0.05084745762711865,0.05084745762711865,0.23728813559322035,0.423728813559322,0.2033898305084746,0.03389830508474576
2026-W17,325,56,2416,3.499,0.6805,2.3811,56,37,19,0,0.0,0.03571428571428571,0.25,0.44642857142857145,0.23214285714285715,0.03571428571428571
2026-W18,363,55,1703,3.5502,0.845,3.0,52,34,18,0,0.019230769230769232,0.038461538461538464,0.21153846153846154,0.4807692307692308,0.21153846153846154,0.038461538461538464
2026-W19,352,52,1792,3.5364,0.8203,2.9008,47,29,18,0,0.02127659574468085,0.02127659574468085,0.2765957446808511,0.48936170212765956,0.14893617021276595,0.0425531914893617
2026-W20,329,49,2735,3.5049,0.626,2.194,42,22,20,0,0.19047619047619047,0.023809523809523808,0.16666666666666666,0.47619047619047616,0.07142857142857142,0.07142857142857142
2026-W21,317,45,4252,3.4868,0.4533,1.5804,50,27,23,0,0.4,0.04,0.12,0.38,0.04,0.02
2026-W22,308,51,5338,3.4725,0.3785,1.3143,56,32,24,0,0.5892857142857143,0.03571428571428571,0.10714285714285714,0.23214285714285715,0.017857142857142856,0.017857142857142856
