week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,123,755,0,122,0.0,0.0,0.123,0.755,0.0,0.122
2026-W13,1000,0,551,70,321,37,21,0.0,0.551,0.07,0.321,0.037,0.021
2026-W14,1000,5,256,122,453,116,48,0.005,0.256,0.122,0.453,0.116,0.048
2026-W15,1000,11,305,137,374,140,33,0.011,0.305,0.137,0.374,0.14,0.033
2026-W16,1000,28,152,191,406,181,42,0.028,0.152,0.191,0.406,0.181,0.042
2026-W17,1000,30,93,207,419,215,36,0.03,0.093,0.207,0.419,0.215,0.036
2026-W18,1000,25,52,238,443,196,46,0.025,0.052,0.238,0.443,0.196,0.046
2026-W19,1000,19,37,237,446,214,47,0.019,0.037,0.237,0.446,0.214,0.047
2026-W20,1000,65,39,209,484,147,56,0.065,0.039,0.209,0.484,0.147,0.056
2026-W21,1000,186,41,201,409,108,55,0.186,0.041,0.201,0.409,0.108,0.055
2026-W22,1000,349,48,133,366,58,46,0.349,0.048,0.133,0.366,0.058,0.046
