week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,117,759,0,124,0.0,0.0,0.117,0.759,0.0,0.124
2026-W13,1000,0,554,57,334,37,18,0.0,0.554,0.057,0.334,0.037,0.018
2026-W14,1000,5,263,122,474,94,42,0.005,0.263,0.122,0.474,0.094,0.042
2026-W15,1000,7,309,119,392,134,39,0.007,0.309,0.119,0.392,0.134,0.039
2026-W16,1000,16,149,182,456,165,32,0.016,0.149,0.182,0.456,0.165,0.032
2026-W17,1000,12,72,233,471,175,37,0.012,0.072,0.233,0.471,0.175,0.037
2026-W18,1000,8,44,227,481,202,38,0.008,0.044,0.227,0.481,0.202,0.038
2026-W19,1000,13,38,256,471,167,55,0.013,0.038,0.256,0.471,0.167,0.055
2026-W20,1000,85,33,233,476,121,52,0.085,0.033,0.233,0.476,0.121,0.052
2026-W21,1000,272,44,174,394,75,41,0.272,0.044,0.174,0.394,0.075,0.041
2026-W22,1000,454,51,100,335,34,26,0.454,0.051,0.1,0.335,0.034,0.026
